TeamName,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Arizona Cardinals,ARI,3,13,0,0.188,225,425,-200,-12.5,1,-11.5,-9.6,-1.9
Atlanta Falcons,ATL,7,9,0,0.438,414,423,-9,-0.6,0.4,-0.1,2.5,-2.6
Baltimore Ravens*,BAL,10,6,0,0.625,389,287,102,6.4,0.6,7,0.6,6.4
Buffalo Bills,BUF,6,10,0,0.375,269,374,-105,-6.6,-0.3,-6.9,-6.3,-0.6
Carolina Panthers,CAR,7,9,0,0.438,376,382,-6,-0.4,1.3,0.9,0.1,0.8
Chicago Bears*,CHI,12,4,0,0.75,421,283,138,8.6,-2.3,6.3,1.5,4.8
Cincinnati Bengals,CIN,6,10,0,0.375,368,455,-87,-5.4,2,-3.4,0,-3.4
Cleveland Browns,CLE,7,8,1,0.469,359,392,-33,-2.1,1.7,-0.3,-1,0.6
Dallas Cowboys*,DAL,10,6,0,0.625,339,324,15,0.9,0.2,1.1,-1.9,2.9
Denver Broncos,DEN,6,10,0,0.375,329,349,-20,-1.3,0.7,-0.5,-3.6,3.1
Detroit Lions,DET,6,10,0,0.375,324,360,-36,-2.3,-0.8,-3,-3.3,0.3
Green Bay Packers,GB,6,9,1,0.406,376,400,-24,-1.5,-1.2,-2.7,0,-2.7
Houston Texans*,HOU,11,5,0,0.688,402,316,86,5.4,-1.5,3.8,2.4,1.4
Indianapolis Colts+,IND,10,6,0,0.625,433,344,89,5.6,-2.2,3.4,3.9,-0.6
Jacksonville Jaguars,JAX,5,11,0,0.313,245,316,-71,-4.4,0.4,-4,-8.1,4
Kansas City Chiefs*,KC,12,4,0,0.75,565,421,144,9,-0.1,8.9,12.6,-3.8
Los Angeles Chargers+,LAC,12,4,0,0.75,428,329,99,6.2,-0.2,6,3,2.9
Los Angeles Rams*,LA,13,3,0,0.813,527,384,143,8.9,-0.4,8.5,9.5,-1.1
Miami Dolphins,MIA,7,9,0,0.438,319,433,-114,-7.1,-1.7,-8.8,-3.6,-5.2
Minnesota Vikings,MIN,8,7,1,0.531,360,341,19,1.2,-0.6,0.6,-1.2,1.8
New England Patriots*,NE,11,5,0,0.688,436,325,111,6.9,-1.8,5.2,3.1,2.1
New Orleans Saints*,NO,13,3,0,0.813,504,353,151,9.4,0.6,10.1,7.9,2.2
New York Giants,NYG,5,11,0,0.313,369,412,-43,-2.7,0.5,-2.2,0.8,-2.9
New York Jets,NYJ,4,12,0,0.25,333,441,-108,-6.8,-1.1,-7.8,-2,-5.9
Oakland Raiders,OAK,4,12,0,0.25,290,467,-177,-11.1,1.8,-9.3,-5.2,-4.1
Philadelphia Eagles+,PHI,9,7,0,0.563,367,348,19,1.2,0.5,1.7,0,1.8
Pittsburgh Steelers,PIT,9,6,1,0.594,428,360,68,4.3,1.3,5.6,3.9,1.7
San Francisco 49ers,SF,4,12,0,0.25,342,435,-93,-5.8,0.3,-5.5,-2.5,-3.1
Seattle Seahawks+,SEA,10,6,0,0.625,428,347,81,5.1,-0.6,4.5,3,1.5
Tampa Bay Buccaneers,TB,5,11,0,0.313,396,464,-68,-4.3,1.7,-2.6,2,-4.6
Tennessee Titans,TEN,9,7,0,0.563,310,303,7,0.4,-0.2,0.2,-3.2,3.5
Washington Redskins,WAS,7,9,0,0.438,281,359,-78,-4.9,-0.1,-4.9,-5.6,0.6